mb_code16,ptal
10000021000,1 - Low
10000022000,1 - Low
10000023000,1 - Low
10000024000,1 - Low
10000040000,1 - Low
10000070000,1 - Low
10000080000,1 - Low
10000090000,1 - Low
10000151000,1 - Low
10000152000,1 - Low
10000161000,1 - Low
10000162000,1 - Low
10000170000,1 - Low
10000184000,1 - Low
10000190000,1 - Low
10000200000,1 - Low
10000210000,1 - Low
10000220000,1 - Low
10000600000,1 - Low
10000240000,1 - Low
10000260000,1 - Low
10000290000,1 - Low
10000341000,3 - Medium
10000342000,3 - Medium
10000410000,1 - Low
10000420000,2 - Low-Medium
10000430000,2 - Low-Medium
10000440000,2 - Low-Medium
10000450000,2 - Low-Medium
10000460000,2 - Low-Medium
10000480000,1 - Low
10000490000,1 - Low
10000500000,1 - Low
10000510000,2 - Low-Medium
10000590000,1 - Low
10002160000,1 - Low
10000730000,1 - Low
10000740000,1 - Low
10000750000,1 - Low
10000760000,1 - Low
10000850000,1 - Low
10000860000,1 - Low
10000880000,1 - Low
10000930000,1 - Low
10000940000,1 - Low
10000960000,1 - Low
10000980000,2 - Low-Medium
10001020000,1 - Low
10001030000,1 - Low
10001040000,1 - Low
10001050000,1 - Low
10001080000,1 - Low
10001090000,1 - Low
10001100000,1 - Low
10001131000,1 - Low
10001132000,1 - Low
10001140000,1 - Low
10001180000,1 - Low
10001190000,1 - Low
10001200000,1 - Low
10001210000,1 - Low
10001220000,1 - Low
10001230000,1 - Low
10001240000,1 - Low
10001250000,1 - Low
10001260000,1 - Low
10001270000,1 - Low
10001280000,1 - Low
10001290000,1 - Low
10001300000,2 - Low-Medium
10001321000,3 - Medium
10001322000,2 - Low-Medium
10001330000,2 - Low-Medium
10001341000,1 - Low
10001342000,2 - Low-Medium
10001450000,1 - Low
10001540000,2 - Low-Medium
10001550000,1 - Low
10001560000,1 - Low
10001570000,1 - Low
10001580000,1 - Low
10001590000,1 - Low
10001600000,1 - Low
10001610000,1 - Low
10001630000,2 - Low-Medium
10001640000,2 - Low-Medium
10001650000,2 - Low-Medium
10001660000,1 - Low
10001670000,1 - Low
10001680000,1 - Low
10001740000,1 - Low
10001760000,1 - Low
10001770000,1 - Low
10001780000,1 - Low
10001790000,1 - Low
10004453000,2 - Low-Medium
10001820000,2 - Low-Medium
10001860000,2 - Low-Medium
10001870000,1 - Low
10001880000,1 - Low
10001890000,1 - Low
10001900000,1 - Low
10001910000,1 - Low
10001920000,1 - Low
10001930000,1 - Low
10001950000,1 - Low
10002010000,1 - Low
10002020000,1 - Low
10002040000,2 - Low-Medium
10002050000,1 - Low
10002100000,1 - Low
10002110000,1 - Low
10002141000,1 - Low
10002142000,1 - Low
10002150000,2 - Low-Medium
10002220000,1 - Low
10002230000,1 - Low
10002240000,1 - Low
10002280000,1 - Low
10002310000,2 - Low-Medium
10002320000,1 - Low
10002370000,1 - Low
10002420000,1 - Low
10002430000,1 - Low
10002440000,1 - Low
10002450000,1 - Low
10002460000,1 - Low
10002500000,1 - Low
10002530000,2 - Low-Medium
10002540000,1 - Low
10002551000,1 - Low
10002552000,1 - Low
10004120000,1 - Low
10002553000,1 - Low
10002580000,1 - Low
10002610000,1 - Low
10002620000,1 - Low
10002630000,1 - Low
10002680000,1 - Low
10002690000,2 - Low-Medium
10002700000,2 - Low-Medium
10002730000,1 - Low
10002751000,1 - Low
10002752000,1 - Low
10002760000,1 - Low
10002780000,1 - Low
10002800000,1 - Low
10002840000,1 - Low
10002850000,1 - Low
10002860000,1 - Low
10002890000,1 - Low
10002920000,1 - Low
10002930000,1 - Low
10002940000,1 - Low
10002950000,1 - Low
10002960000,1 - Low
10002970000,2 - Low-Medium
10002980000,1 - Low
10003000000,1 - Low
10003020000,1 - Low
10003040000,1 - Low
10003060000,1 - Low
10003070000,2 - Low-Medium
10003090000,1 - Low
10003100000,1 - Low
10003120000,1 - Low
10003130000,1 - Low
10003140000,1 - Low
10003150000,1 - Low
10003160000,1 - Low
10003170000,1 - Low
10003180000,1 - Low
10003190000,1 - Low
10003200000,1 - Low
10003250000,1 - Low
10003260000,1 - Low
10003270000,1 - Low
10003280000,1 - Low
10003301000,1 - Low
10003302000,1 - Low
10003310000,1 - Low
10003320000,1 - Low
10003330000,1 - Low
10003350000,1 - Low
10003360000,1 - Low
10003390000,1 - Low
10003400000,1 - Low
10003410000,1 - Low
10003420000,1 - Low
10003440000,1 - Low
10003450000,1 - Low
10003460000,1 - Low
10003470000,1 - Low
10003481000,1 - Low
10003571000,1 - Low
10003572000,1 - Low
10003573000,1 - Low
10003610000,1 - Low
10004451000,2 - Low-Medium
10003640000,1 - Low
10003720000,2 - Low-Medium
10003751000,2 - Low-Medium
10003752000,1 - Low
10003761000,1 - Low
10003762000,1 - Low
10003780000,1 - Low
10003880000,1 - Low
10003890000,1 - Low
10003930000,1 - Low
10003940000,1 - Low
10003950000,1 - Low
10003961000,1 - Low
10003962000,1 - Low
10003963000,2 - Low-Medium
10004040000,1 - Low
10004050000,2 - Low-Medium
10004066000,1 - Low
10004081000,1 - Low
10004082000,1 - Low
10004083000,1 - Low
10004084000,1 - Low
10004085000,1 - Low
10004091000,2 - Low-Medium
10004092000,2 - Low-Medium
10004160000,1 - Low
10004230000,1 - Low
10004241000,2 - Low-Medium
10004242000,1 - Low
10004243000,1 - Low
10004251000,2 - Low-Medium
10004252000,2 - Low-Medium
10004261000,3 - Medium
10004262000,2 - Low-Medium
10004271000,3 - Medium
10004272000,2 - Low-Medium
10004273000,2 - Low-Medium
10004281000,2 - Low-Medium
10004282000,3 - Medium
10004290000,1 - Low
10004301000,1 - Low
10004302000,1 - Low
10004303000,2 - Low-Medium
10004304000,1 - Low
10004305000,1 - Low
10004306000,1 - Low
10004340000,1 - Low
10004390000,2 - Low-Medium
10004431000,1 - Low
10004432000,1 - Low
10004440000,1 - Low
