Property,Landowning Agency,Agency in GPX, Developable Area ,Potential dwelling yield,Property Value,Zoning,Heritage,Score,Agency to manage divestment,Date of determination,Director
"110 Louisiana Road, Hamlyn Terrace (Casuarina Grove)",Department of Communities and Justice,Not submitted by agency," 9,890 ", 14 ,"$2,137,000",R2 - Low Density Residential?,Yes - Stage Heritage,4.25,PDNSW,Jan-25,George
"19-21 Cartwright Street, Bonnyrigg Heights",Planning Ministerial Corporation,Not submitted by agency," 2,506 ", 2 ,"$2,819,250",R2 - Low Density Residential?,None,5,PMC,Jan-25,
"59 Icely Road, Orange",PDNSW,-, - ,-,-,R1 - General Residential,-,,PDNSW,Dec-24,George
"190 Woodward Street, Orange",PDNSW,-, - ,-,-,R1 - General Residential,-,,PDNSW,Dec-24,George
"40 Gilmore Place, Queanbeyan West",PDNSW,-, - ,-,-,R2 - Low Density Residential,-,,PDNSW,Dec-24,George
"21 Old Mount Penang Road, Kariong",Hunter and Central Coast Development Corporation,-, - ,-,-,SP1 - Special Activities,-,,HCCDC,Dec-24,
"193A Macquarie Street, Parramatta",School Infrastructure NSW,-, - ,-,-,Other,-,,PDNSW,Dec-24,Tahlee
"Release 1A, Parkes Special Activation Precinct, Brolgan Road, Parkes",Regional Growth NSW Development Corporation,-, - ,-,-,Other,-,,Regional Growth NSW Development Corporation,Dec-24,
"57 Balo Street, Moree",PDNSW,-, - ,-,-,E2 - Commercial Core / Commercial Centre,-,,PDNSW,Dec-24,Richard
"235 Parker Street, South Penrith",Transport for NSW,-, - ,-,-,R2 - Low Density Residential,-,,TfNSW,Dec-24,
"11 Lilyfield Road, Rozelle",Transport for NSW,-, - ,-,-,R1 - General Residential,-,,TfNSW,Dec-24,
"9 Lilyfield Road, Rozelle",Transport for NSW,-, - ,-,-,R1 - General Residential,-,,TfNSW,Dec-24,
"62 Lilyfield Road, Rozelle",Transport for NSW,-, - ,-,-,R1 - General Residential,-,,TfNSW,Dec-24,
"20 Lilyfield Road, Rozelle",Transport for NSW,-, - ,-,-,R1 - General Residential,-,,TfNSW,Dec-24,
"16 Lilyfield Road, Rozelle",Transport for NSW,-, - ,-,-,R1 - General Residential,-,,TfNSW,Dec-24,
"23 Bethlehem Street, Cringila ",PDNSW,-, - ,-,-,R2 - Low Density Residential,-,,PDNSW,Dec-24,George
"1262 The Northern Road, Bringelly",Transport for NSW,-, - ,-,-,B4 - Mixed Use,-,,TfNSW,Dec-24,
962 Blue Springs Road Cope,Biodiversity Conservation Trust of NSW,," 1,329,000 ",,"$1,300,000",RU1 - Primary Production,None,,Biodiversity Conservation Trust of NSW,22/01/2025,
2 Orchard Road Chatswood,Sydney Metro,, 530 ,,"$1,800,000",R2 - Low Density Residential,Yes - Local Heritage,,PDNSW,22/01/2025,Richard
13 Pound Street Grafton,Transport for NSW,, 903 ,,"$575,000",R1 - General Residential,Yes - Local Heritage,,TfNSW,22/01/2025,
24 Waterloo Street Rozelle,Transport for NSW,, 152 ,,"$1,650,000",R1 - General Residential,None,,TfNSW,22/01/2025,
171A McCarrs Creek Road Church Point,Transport for NSW,, 651 ,,"$850,000",C4 - Environmental Living,None,,TfNSW,22/01/2025,
1054 Old Maitland Road Sawyers Gully,Transport for NSW,," 159,000 ",,"$1,375,000",RU2 - Rural Landscape,None,,TfNSW,22/01/2025,
1059 Old Maitland Road Sawyers Gully,Transport for NSW,," 288,900 ",,"$390,000",RU2 - Rural Landscape,None,,TfNSW,22/01/2025,
Lot 1 Sierra Place Baulkham Hills,Transport for NSW,, 388 ,,"$32,000",R2 - Low Density Residential,None,,TfNSW,22/01/2025,
Lot 5 Forbes Street Leumeah,Transport for NSW,, 575 ,,"$800,000",R3 - Medium Density Residential,None,,TfNSW,22/01/2025,
Lots 2 and 10 Giinagay Way Warrell Creek,Transport for NSW,," 65,620 ",,"$82,000",RU1 - Primary Production,None,,TfNSW,22/01/2025,
