Zone,SYM_CODE,RGB Fill Colour,HEX Fill Colour,RGB Outline Colour,HEX Outline Colour
2(a) Residential (Low Density),2(a),255:166:163,FFA6A3,0:0:0,000000
A Residential Zone - Medium Density Residential,A,252:119:110,FC776E,0:0:0,000000
AGB Agribusiness,AGB,250:232:197,FAE8C5,0:0:0,000000
B Business Zone - Local Centre,B,99:240:245,63F0F5,0:0:0,000000
B1 Neighbourhood Centre,B1,201:255:249,C9FFF9,0:0:0,000000
B2 Local Centre,B2,98:240:245,62F0F5,0:0:0,000000
B3 Commercial Core,B3,0:194:237,00C2ED,0:0:0,000000
B4 Mixed Use,B4,149:157:194,959DC2,0:0:0,000000
B5 Business Development,B5,125:160:171,7DA0AB,0:0:0,000000
B6 Enterprise Corridor,B6,149:191:204,95BFCC,0:0:0,000000
B7 Business Park,B7,186:214:222,BAD6DE,0:0:0,000000
C Business Zone - Business Park,C,186:214:222,BAD6DE,0:0:0,000000
C1 National Parks and Nature Reserves,C1,230:153:0,E69900,0:0:0,000000
C2 Environmental Conservation,C2,240:174:60,F0AE3C,0:0:0,000000
C3 Environmental Management,C3,247:197:104,F7C568,0:0:0,000000
C4 Environmental Living,C4,255:218:150,FFDA96,0:0:0,000000
CA Complex Area,CA,No Fill,No Fill,0:92:230,005CE6
D Business Zone - Mixed Use,D,149:157:194,959DC2,0:0:0,000000
DM Deferred Matter,DM,255:255:255,FFFFFF,255:0:0,FF0000
DR Drainage,DR,255:255:112,FFFF70,0:0:0,000000
E Environment,E,0:194:237,00C2ED,0:0:0,000000
E1 Local Centre,E1,98:240:245,62F0F5,0:0:0,000000
E2 Commercial Centre,E2,180:198:231,B4C6E7,0:0:0,000000
E3 Productivity Support,E3,142:169:219,8EA9DB,0:0:0,000000
E4 General Industrial,E4,153:153:255,9999FF,0:0:0,000000
E5 Heavy Industrial,E5,153:102:255,9966FF,0:0:0,000000
EM Employment,EM,149:191:204,95BFCC,0:0:0,000000
ENP Environment Protection,ENP,255:214:64,FFD640,0:0:0,000000
ENT Enterprise,ENT,118:192:214,76C0D6,0:0:0,000000
ENZ Environment and Recreation,ENZ,115:178:115,73B273,0:0:0,000000
EP Employment,EP,252:249:182,FCF9B6,0:0:0,000000
F Special Purposes Zone - Comminity,F,255:255:161,FFFFA1,0:0:0,000000
G Special Purposes Zone - Infrastructure,G,255:255:112,FFFF70,0:0:0,000000
H Recreation Zone - Public Recreation,H,85:255:0,55FF00,0:0:0,000000
I Recreation Zone - Private Recreation,I,211:255:191,D3FFBF,0:0:0,000000
IN1 General Industrial,IN1,221:184:245,DDB8F5,0:0:0,000000
IN2 Light Industrial,IN2,243:219:255,F3DBFF,0:0:0,000000
IN3 Heavy Industrial,IN3,197:149:232,C595E8,0:0:0,000000
MAP Marine Park,MAP,230:255:255,E6FFFF,0:0:0,000000
MU Mixed Use,MU,149:157:194,959DC2,0:0:0,000000
MU1 Mixed Use,MU1,149:157:194,959DC2,0:0:0,000000
P Parkland,P,179:204:252,B3CCFC,0:0:0,000000
PAE Port and Employment,PAE,244:236:73,F4EC49,0:0:0,000000
PEP Permanent Park Preserve,PEP,116:179:116,74B374,0:0:0,000000
PRC Public Recreation,PRC,84:153:128,549980,0:0:0,000000
R Residential,R,179:252:179,B3FCB3,0:0:0,000000
R1 General Residential,R1,255:207:255,FFCFFF,0:0:0,000000
R2 Low Density Residential,R2,255:166:163,FFA6A3,0:0:0,000000
