,bbox_west,bbox_south,bbox_east,bbox_north
Albury_Wodonga_2020_3_GM,146.6683565,-36.28514911,147.1213092,-35.97153447
Armidale_2020_01_GM,151.5989034,-30.56725108,151.7058077,-30.46075895
Armidale_2020_2_GM,151.5763877,-30.58457768,151.7507461,-30.44568455
ARTC_NS2B_2020_1_GM,150.3924555,-28.91386893,150.5147435,-28.61100276
Ballina_2020_1_GM,153.4698916,-28.90951343,153.6422569,-28.5296946
Batemans_Bay_2020_1_GM,150.0908015,-35.86584188,150.4302796,-35.43667666
BatemansBay_2020_1_GM,150.1619736,-35.7331615,150.2130099,-35.67560498
Bathurst_2020_1_GM,149.5050949,-33.4668239,149.6683861,-33.35216103
Batlow_2020_1_GM,148.1165905,-35.54517848,148.1806153,-35.49721711
Bega_2020_1_GM,149.814207,-36.70173288,149.845406,-36.63553112
Berridale_2020_1_GM,148.8089401,-36.37873895,148.8482828,-36.35578269
BewongWandandian_2020_1_GM,150.4908065,-35.10815037,150.5390951,-35.07367614
Bodalla_2020_1_GM,150.0402619,-36.1110546,150.0647372,-36.07915858
Bombala_2020_1_GM,149.2094253,-36.9340052,149.2681818,-36.88720531
Broken_Hill_2020_1_GM,141.2962597,-32.09676524,141.6019635,-31.86851874
BrokenHill_2020_1_GM,141.4016749,-32.00770255,141.5128824,-31.91771695
Brungle_2020_1_GM,148.2133437,-35.16681374,148.2457794,-35.13868007
ByronBay_2020_1_GM,153.5430387,-28.71160301,153.6507861,-28.60834042
Cessnock_2020_1_GM,151.2949186,-32.88412366,151.3985544,-32.79188551
Cobar_2020_1_GM,145.7648192,-31.5834796,145.8967056,-31.44156874
ConjolaYatteYattah_2020_1_GM,150.4188034,-35.26536431,150.4445,-35.21037031
Cooma_2020_1_GM,149.0978091,-36.25912085,149.1614175,-36.19763165
Cowra_2020_2_GM,148.6113398,-33.88792108,148.7348108,-33.76452155
DolphinPoint_2020_1_GM,150.3822095,-35.45180758,150.4660527,-35.33427125
Dubbo_2020_1_GM,148.5391606,-32.32050489,148.6953195,-32.15793406
Eden_2020_1_GM,149.8718419,-37.08535917,149.9145818,-37.02755203
EdwardRiver_2020_1_GM,145.1418876,-35.35370746,145.2072813,-35.26489181
EdwardRiver_2020_2_GM,144.8770823,-35.59303478,145.0396067,-35.46902272
EdwardRiver_2020_3_GM,144.8035971,-35.2414849,144.8321988,-35.18826179
EdwardRiver_2020_4_GM,144.0304842,-35.74373418,145.5889735,-34.99377092
EdwardRiver_2020_5_GM,144.1048136,-35.02011492,145.6164573,-34.71644264
EV_Dubbo_2020_2_GM,148.5591888,-32.30889836,148.6910248,-32.19740451
EV_Fairfield_2020_1_GM,150.750618,-33.98643932,151.0582371,-33.73090701
EV_MtSelwyn_2020_1_GM,148.3593734,-36.00249232,148.5571289,-35.82449434
EV_Mulgoa_2020_1_GM,150.5150986,-33.95996058,150.8007471,-33.74089984
EV_Orange_2020_1_GM,149.0099679,-33.44836805,149.2736435,-33.19129441
EV_SutherlandShire_2020_1_GM,150.9803009,-34.11127577,151.2879182,-33.94734729
EV_Sydney_2020_1_GM,150.9833908,-34.110423,151.3349533,-33.72748063
EV_Tamworth_2020_1_GM,150.8021164,-31.19615529,151.1317063,-30.97024996
EV_WaggaWagga_2020_1_GM,147.1642684,-35.2179403,147.5597763,-34.98415927
Fairfield_2020_1_GM_NIR,150.6479406,-33.93750443,151.0188703,-33.80694835
Fairfield_2020_2_GM,150.6479406,-33.93750443,151.0188703,-33.80694835
Grafton_2020_1_GM,152.8749005,-29.75670438,152.9967754,-29.61444351
Greater_Lithgow_2020_1_GM,150.0368011,-33.55307898,150.2630027,-33.39581924
Griffith_2020_1_GM,145.9425302,-34.3717232,146.243435,-34.20631235
Inverell_2020_1_GM,151.0219788,-29.89978547,151.203171,-29.71196227
Khancoban_2020_1_GM,148.096038,-36.23763521,148.1600981,-36.19227978
Lismore_2020_1_GM,153.2431914,-28.86450081,153.3558895,-28.76877745
Lithgow_2020_1_GM_NIR,150.094421,-33.61426458,150.280669,-33.4661216
Lithgow_2020_2_GM,150.094421,-33.61426458,150.280669,-33.4661216
Maitland_2020_1_GM,151.4581103,-32.90575147,151.9064207,-32.62974612
Maitland_2020_2_GM,151.2877694,-32.87625676,151.7535355,-32.60214563
Michelago_2020_1_GM,149.1376523,-35.73246479,149.2002446,-35.66372591
Mogo_2020_1_GM,150.1286081,-35.79744278,150.1534276,-35.77075932
Moree_2020_1_GM,149.6947645,-29.63248681,149.9420256,-29.39178086
Moruya_2020_1_GM,150.07177,-35.93641788,150.1140281,-35.86965318
Muswellbrook_2020_1_GM,150.8235271,-32.30121555,150.9319202,-31.97516007
Nambucca_2020_1_GM,152.3982263,-30.93131027,153.0237366,-30.48872134
Narooma_2020_1_GM,150.1036459,-36.23302221,150.1390499,-36.18782599
Newcastle_2020_1_GM,151.1682775,-33.62000169,151.8131339,-32.80426783
Newcastle_2020_2_GM,151.5234936,-33.06613342,151.8408202,-32.8556678
Nowra_2020_1_GM,150.4792414,-34.99334554,150.7873235,-34.7916568
Oberon_2020_1_GM,149.7998633,-33.75390922,149.9071841,-33.66570598
Orange_2020_1_GM,149.0063282,-33.36656159,149.184399,-33.2014265
Parkes_2020_1_GM,148.0461752,-33.19894794,148.2409131,-33.07670578
Parramatta_2020_1_GM,150.983206,-33.83097612,151.0334939,-33.80325527
Port_Macquarie_2020_1_GM,152.8063855,-31.51039957,152.9402948,-31.38519943
PortMacquarie_2020_1_GM,152.6883524,-31.55177408,153.1068281,-30.84168953
Singleton_2020_1_GM,150.8502715,-32.60055748,151.218137,-32.22551539
Snowy_Monaro_2020_1_GM,148.78915,-36.39119056,148.8709352,-36.34124235
Snowy_Monaro_2020_2_GM,149.1750447,-36.94632533,149.275752,-36.8777637
Snowy_Monaro_2020_3_GM,149.0533437,-36.2682597,149.1721548,-36.14599743
Snowy_Monaro_2020_4_GM,149.1138277,-35.73342198,149.2072673,-35.65884319
SnowyMountains_2020_1_GM,148.2470158,-36.53573807,148.7443347,-36.25244132
Snowy_Valley_2020_1_GM,147.6868796,-36.80677051,148.8167851,-35.07172918
Sutherland_Shire_1_GM,150.906955,-34.18214065,151.2351441,-33.9639095
Sutherland_Shire_1_GM_NIR,150.906955,-34.18214065,151.2351441,-33.9639095
Sydney_2020_01_GM,151.0923658,-34.03007264,151.2247468,-33.7797826
Sydney_2020_10_GM,150.5359257,-34.02197545,150.7765328,-33.77300213
Sydney_2020_11_GM,150.7702761,-34.02492422,150.9451068,-33.7797761
Sydney_2020_2_GM,150.9284556,-34.02951724,151.1006555,-33.7746813
Sydney_2020_3_GM,150.8867013,-34.01444252,151.3149256,-33.74632309
Sydney_2020_4_GM,150.5785066,-34.19218323,151.3326741,-33.56702085
Sydney_2020_5_GM,151.2465041,-33.78837735,151.3470679,-33.56815598
Sydney_2020_6_GM,150.943225,-33.78771224,151.2509576,-33.56351032
Sydney_2020_7_GM,150.7101917,-33.78306423,150.8796087,-33.56783788
Sydney_2020_8_GM,151.0391747,-34.03227626,151.310413,-33.78467763
Sydney_2020_9_GM,150.9371115,-34.02879107,151.0447715,-33.78302716
Sydney_Area_1_2020_1_GM,151.2142965,-34.03179276,151.3186252,-33.77925665
Sydney_Area_2_2020_1_GM,150.5610957,-34.02527465,150.9360037,-33.76840119
Sydney_Area_3_2020_1_GM,150.9339657,-33.78980565,151.3478381,-33.56383179
Sydney_Area_4_2020_1_GM,150.5666092,-33.78567338,150.9434033,-33.56476873
Sydney_CBD_Area_1_2020_1_GM,150.9921246,-33.83162053,151.0304191,-33.80568691
Sydney_CBD_Area_2_2020_1_GM,151.1687185,-33.8079292,151.1920969,-33.78486305
Sydney_CBD_Area_3_2020_1_GM,151.194504,-33.88347266,151.223685,-33.83094782
Sydney_West_2020_1_GM,150.8182295,-34.01044227,151.1288334,-33.70223986
Talbingo_2020_1_GM,148.2825069,-35.62864656,148.323749,-35.56561419
Tamworth_2020_1_GM,150.8051563,-31.17843912,151.008517,-30.99941976
Tamworth_2020_3_GM,150.8081774,-31.18350449,151.0130406,-31.00915565
Tumbarumba_2020_1_GM,147.9499158,-35.82654556,148.0485767,-35.73275984
Tumut_2020_1_GM,148.1695755,-35.3418852,148.2661764,-35.27267117
Tweed_2020_1_GM,153.1009094,-28.56661544,153.6041023,-28.11761922
TweedHeads_2020_1_GM,153.3322415,-28.31477697,153.5920123,-28.05145266
Wagga_Wagga_2020_1_GM_NIR,147.2294717,-35.26109353,147.5613402,-34.99729021
Wagga_Wagga_2020_3_GM,147.2566894,-35.24193207,147.4972576,-35.02597296
Western_Sydney_2020_1_GM,150.519831,-34.30936429,151.0095688,-33.51912783
Western_Sydney_2020_1_GM_NIR,150.519831,-34.30936429,151.0095688,-33.51912783
Wilcannia_2020_1_GM,143.3140329,-31.5866449,143.4167728,-31.5044476
Williamtown_2020_1_GM,151.7040475,-32.86705354,152.0021653,-32.72093387
Wollongong_2020_1_GM,150.5963407,-34.79897563,151.0981822,-34.11336141
Wollongong_2020_1_GM_NIR,150.5963407,-34.79897563,151.0981822,-34.11336141
Yamba_2020_1_GM,153.1607695,-29.5020622,153.3973088,-29.35155867
Yass_2020_1_GM,148.783795,-35.0258638,149.148219,-34.7306282
Albury_Wodonga_2021_1_GM,146.6579458,-36.29420938,147.1293964,-35.89354895
Armidale_2021_1_GM,151.549262,-30.59944589,151.7763662,-30.43349278
ARTC_N2N_S1_2021_1_GM,148.1751483,-32.44471176,148.6476241,-31.56267105
ARTC_N2N_S2_Area4_2021_1_GM,148.5248347,-31.56338977,149.0086337,-30.86898341
ARTC_N2N_S3_2021_1_GM,149.0083063,-30.9503044,149.6152418,-30.48631059
ARTC_N2N_S4_2021_1_GM,149.6148793,-30.5110335,149.8068913,-30.27170305
Ballina_Byron_2021_1_GM,153.2060647,-28.91116969,153.6093532,-28.42140224
Ballina_Byron_2021_2_GM,153.5385884,-28.82632616,153.6393999,-28.42148914
BallinaByron_2021_3_GM,153.2091708,-28.91214104,153.641592,-28.40556688
Bathurst_2021_1_GM,149.4968422,-33.47107641,149.6762907,-33.3517551
Braidwood_2021_1_GM,149.7117657,-35.49448759,149.8577223,-35.37791943
BrokenHill_2021_2_GM,141.3835466,-32.01398392,141.5106477,-31.90711201
CaptainsFlat_2021_1_GM,149.3878197,-35.6261266,149.505941,-35.54823906
CentralCoast_2021_1_GM,151.1170165,-33.61878085,151.6920844,-32.99807392
CentralCoast_2021_2_GM,151.4093329,-33.1594408,151.6560694,-32.96219583
Coffs_Harbour_2021_1_GM,153.0072098,-30.40182574,153.244282,-29.96098891
Deniliquin_2021_1_GM,144.8949872,-35.58947367,145.0360498,-35.48547684
DiamondBeach_2021_1_GM,152.5014472,-32.11755341,152.5770603,-31.80298725
Forster_2021_1_GM,152.4973706,-32.27070244,152.5719256,-32.17232746
Goulburn_2021_1_GM,149.6479787,-34.83604033,150.4056992,-34.58790003
Goulburn_2021_3_GM,150.149375,-34.62899552,150.5942891,-34.47964033
Goulburn_2021_4_GM,150.2497788,-34.48905532,150.8373451,-34.12795995
Grafton_2021_1_GM,152.8549543,-29.76783582,153.0116124,-29.60340716
Greater_Hunter_2021_1_GM,150.7429363,-32.83985775,151.3365579,-31.96003366
Kempsey_2021_1_GM,152.7092818,-31.14234423,152.9764911,-31.00234361
kempsey_2021_1_GM_NIR,152.7092818,-31.14234423,152.9764911,-31.00234361
Maitland_2021_10_GM,151.3882647,-32.81596816,151.7540644,-32.70431786
Maitland_2021_10_GM_CIR,151.3882647,-32.81596816,151.7540644,-32.70431786
Maitland_2021_12_GM,151.3884212,-32.70750738,151.6593126,-32.60458974
Maitland_2021_12_GM_CIR,151.3884212,-32.70750738,151.6593126,-32.60458974
Maitland_2021_2_GM,151.3992203,-32.75000828,151.7256286,-32.60568688
Maitland_2021_3_GM,151.4029874,-32.81048026,151.7446206,-32.70491345
